POPS.ELF Function Map - PS1 Emulator for PS2 (HDD version)
==========================================================================================
Generated by POPS Deep Analysis Tool

ARCHITECTURE OVERVIEW:
  - EE (Emotion Engine) MIPS R5900 binary, EABI64, MIPS-III
  - Entry point: 0x00200008
  - Code: 296KB (.text), 3.5KB VU microcode (.vutext)
  - Data: 2.75MB (.data incl. embedded IOP modules)
  - PS1 emulator with JIT recompiler

EMBEDDED IOP MODULES:
  sio2man, padman_hsync, Sound_Device_Library (libsd),
  sdr_driver, dev9, atad, hdd, pfs, IOPCD


==========================================================================================
 CDROM - 41 functions (0x0020FD18 - 0x00213E50)
==========================================================================================

  0x00216B40  gte_0017                                      frame=  16  size=   88  calls= 1
  0x00216B98  gte_0018                                      frame=  32  size= 1256  calls= 0
  0x00217080  gte_0019                                      frame=  32  size=  952  calls= 0
  0x00217438  gte_0020                                      frame=  16  size=   72  calls= 0
  0x00217480  gte_0021                                      frame=  16  size=  100  calls= 1
  0x002174E4  gte_0022                                      frame=  16  size=  968  calls= 0
  0x002178AC  gte_0023                                      frame=  16  size=  868  calls= 0
  0x00217C10  gte_0024                                      frame=  32  size=  864  calls= 0
  0x00217F70  gte_0025                                      frame=  16  size=   80  calls= 0
  0x00217FC0  gte_0026                                      frame=  16  size= 2008  calls= 1
  0x00218798  gte_0027                                      frame=  48  size= 5088  calls= 2
  0x00219B78  gte_0028                                      frame=  16  size=   84  calls= 0
  0x00219BCC  gte_0029                                      frame=  16  size=  120  calls= 1
  0x00219C44  gte_0030                                      frame=  16  size=  120  calls= 1
  0x00219CBC  gte_0031                                      frame=  16  size=   96  calls= 0
  0x00219D1C  gte_0032                                      frame=  16  size=  112  calls= 0
  0x00219D8C  gte_0033                                      frame=  16  size=  108  calls= 0
  0x00219DF8  gte_0034                                      frame=  32  size=  760  calls= 4
  0x0021A0F0  gte_0035                                      frame=   0  size=  224  calls= 0
  0x0021A1D0  gte_0036                                      frame=   0  size=  704  calls= 0
  0x0021A490  gte_0037                                      frame=  16  size=  104  calls= 1
  0x0021A4F8  gte_0038                                      frame=   0  size=  112  calls= 0
  0x0021A568  gte_0039                                      frame=  32  size=  304  calls= 2
  0x0021A698  gte_0040                                      frame=  32  size=  368  calls= 3
  0x0021A808  gte_0041                                      frame=  48  size=  408  calls= 4
  0x0021A9A0  gte_0042                                      frame=  32  size=  120  calls= 3
  0x0021AA18  gte_0043                                      frame=   0  size=   96  calls= 0
  0x0021AA78  gte_0044                                      frame=  16  size=   96  calls= 0
  0x0021AAD8  gte_0045                                      frame=  16  size=   64  calls= 1
  0x0021AB18  gte_0046                                      frame=  48  size=  216  calls= 3
  0x0021ABF0  gte_0047                                      frame=   0  size=   16  calls= 0
  0x0021AC00  gte_0048                                      frame=   0  size=   48  calls= 0
  0x0021AC30  gte_0049                                      frame=   0  size=   16  calls= 0
  0x0021AC40  gte_0050                                      frame=  16  size=  304  calls= 1
  0x0021AD70  gte_0051                                      frame=  64  size=  320  calls= 3
  0x0021AEB0  gte_0052                                      frame=  16  size=  112  calls= 1
  0x0021AF20  gte_0053                                      frame=  16  size=   24  calls= 0
  0x0021AF38  gte_0054                                      frame=  32  size=  136  calls= 3
  0x0021AFC0  gte_0055                                      frame= 288  size= 1728  calls=19
  0x0021B680  gte_0056                                      frame=  32  size=  688  calls= 1
  0x0021B930  gte_0057                                      frame=  16  size=  576  calls= 1
  0x0021BB70  gte_0058                                      frame=  96  size=  776  calls= 1
  0x0021BE78  gte_0059                                      frame=  16  size=  568  calls= 2
  0x0021C0B0  gte_0060                                      frame=  80  size=  480  calls= 0
  0x0021C290  gte_0061                                      frame=  64  size=  368  calls= 5
  0x0021C400  gte_0062                                      frame=  64  size=  672  calls= 6
  0x0021C6A0  gte_0063                                      frame=  96  size=  488  calls= 2
  0x0021C888  gte_0064                                      frame=  64  size=  256  calls= 1
  0x0021C988  gte_0065                                      frame=  32  size=  216  calls= 1
  0x0021CA60  gte_0066                                      frame=  16  size=   88  calls= 1
  0x0021CAB8  gte_0067                                      frame=  16  size=  104  calls= 2
  0x0021CB20  gte_0068                                      frame=   0  size=  112  calls= 0
  0x0021CB90  gte_0069                                      frame=  80  size=  376  calls= 1
  0x0021CD08  gte_0070                                      frame=  16  size=   96  calls= 2
  0x0021CD68  gte_0071                                      frame=  16  size=  104  calls= 2
  0x0021CDD0  gte_0072                                      frame=  16  size=   64  calls= 1
  0x0021CE10  gte_0073                                      frame=  96  size= 2176  calls= 4
  0x0021D690  gte_0074                                      frame=  16  size=  232  calls= 0
  0x0021D778  gte_0075                                      frame=  16  size=  280  calls= 0
  0x0021D890  gte_0076                                      frame=  16  size=  496  calls= 0
  0x0021DA80  gte_0077                                      frame= 128  size= 2240  calls= 2
  0x0021E340  gte_0078                                      frame= 160  size= 5424  calls= 3

==========================================================================================
 HDD - 64 functions (0x0020CD24 - 0x0022A000)
==========================================================================================

  0x0020CD24  serial_0016                                   frame=  32  size=  380  calls= 3  "pfs1:"
  0x0021F870  hdd_0001                                      frame= 192  size= 3224  calls= 4
  0x00220508  hdd_0002                                      frame=  80  size= 1040  calls= 2
  0x00220918  hdd_0003                                      frame=  16  size=   40  calls= 0
  0x00220940  hdd_0004                                      frame=  16  size=   40  calls= 0
  0x00220968  hdd_0005                                      frame=  16  size=   32  calls= 0
  0x00220988  hdd_0006                                      frame=  16  size=   32  calls= 0
  0x002209A8  hdd_0007                                      frame=  16  size=   32  calls= 0
  0x002209C8  hdd_0008                                      frame=  16  size=   32  calls= 0
  0x002209E8  hdd_0009                                      frame=  16  size=   32  calls= 0
  0x00220A08  hdd_0010                                      frame=  16  size=   96  calls= 0
  0x00220A68  hdd_0011                                      frame=   0  size=  104  calls= 0
  0x00220AD0  hdd_0012                                      frame=  64  size=  688  calls= 1
  0x00220D80  hdd_0013                                      frame= 208  size= 2272  calls= 3
  0x00221660  hdd_0014                                      frame=   0  size=  168  calls= 0
  0x00221708  hdd_0015                                      frame=  48  size= 1432  calls= 4
  0x00221CA0  hdd_0016                                      frame=  32  size=  272  calls= 6
  0x00221DB0  hdd_0017                                      frame=  48  size=  360  calls= 2
  0x00221F18  hdd_0018                                      frame=   0  size=    4  calls= 0
  0x00221F1C  hdd_0019                                      frame=  16  size=  308  calls= 0
  0x00222050  hdd_0020                                      frame=  64  size= 1544  calls= 5
  0x00222658  hdd_0021                                      frame=   0  size=    4  calls= 0
  0x0022265C  hdd_0022                                      frame=  96  size=  908  calls= 2
  0x002229E8  hdd_0023                                      frame=   0  size=   16  calls= 0
  0x002229F8  hdd_0024                                      frame= 144  size= 1184  calls= 0
  0x00222E98  hdd_0025                                      frame= 176  size= 2648  calls= 3
  0x002238F0  hdd_0026                                      frame=  80  size= 1200  calls= 1
  0x00223DA0  hdd_0027                                      frame= 176  size= 1072  calls= 1
  0x002241D0  hdd_0028                                      frame=   0  size=  144  calls= 0
  0x00224260  hdd_0029                                      frame=   0  size=    8  calls= 0
  0x00224268  hdd_0030                                      frame= 112  size= 2512  calls= 5
  0x00224C38  hdd_0031                                      frame=   0  size=   76  calls= 0
  0x00224C84  hdd_0032                                      frame=  64  size=  532  calls= 0
  0x00224E98  hdd_0033                                      frame=  80  size=  752  calls= 1
  0x00225188  hdd_0034                                      frame=  64  size=  696  calls= 4
  0x00225440  hdd_0035                                      frame= 192  size= 2832  calls= 5
  0x00225F50  hdd_0036                                      frame=   0  size=   76  calls= 0
  0x00225F9C  hdd_0037                                      frame=  64  size=  532  calls= 0
  0x002261B0  hdd_0038                                      frame=   0  size=  168  calls= 0
  0x00226258  hdd_0039                                      frame= 176  size=  328  calls= 9
  0x002263A0  hdd_0040                                      frame=  16  size=  544  calls= 3  "cancel"
  0x002265C0  hdd_0041                                      frame=  48  size=  424  calls= 3
  0x00226768  hdd_0042                                      frame=  64  size=  724  calls= 2
  0x00226A3C  hdd_0043                                      frame=  64  size=  804  calls= 7
  0x00226D60  hdd_0044                                      frame=  80  size=  752  calls= 3
  0x00227050  hdd_0045                                      frame=  16  size=  528  calls= 0
  0x00227260  hdd_0046                                      frame=  16  size=  304  calls= 0
  0x00227390  hdd_0047                                      frame=  96  size= 1344  calls= 4
  0x002278D0  hdd_0048                                      frame=  32  size= 1232  calls= 0
  0x00227DA0  hdd_0049                                      frame=  96  size= 2944  calls= 0
  0x00228920  hdd_0050                                      frame=  16  size=  192  calls= 4
  0x002289E0  hdd_0051                                      frame=  48  size=  248  calls= 1
